code,name,reason
sh.510010,交银上证180公司治理ETF,流动性不足:28万
sh.510020,博时上证超大盘ETF,流动性不足:328万
sh.510040,鹏华上证180ETF,流动性不足:468万
sh.510060,工银上证央企ETF,流动性不足:44万
sh.510090,建信上证社会责任ETF,流动性不足:4万
sh.510130,易方达上证中盘ETF,流动性不足:358万
sh.510160,中证南方小康产业指数ETF,流动性不足:56万
sh.510190,华安上证50ETF,流动性不足:209万
sh.510200,汇安上证证券ETF,流动性不足:471万
sh.510270,中银上证国企100ETF,流动性不足:363万
sh.510290,南方上证380ETF,流动性不足:165万
sh.510380,国寿安保沪深300ETF,流动性不足:105万
sh.510550,方正富邦中证500ETF,流动性不足:153万
sh.510560,国寿安保中证500ETF,流动性不足:147万
sh.510570,兴业中证500ETF,流动性不足:289万
sh.510590,平安中证500ETF,流动性不足:438万
sh.510600,申万菱信上证50ETF,流动性不足:251万
sh.510650,上证金融地产发起式ETF,流动性不足:140万
sh.510670,华夏上证180ETF,流动性不足:473万
sh.510710,博时上证50ETF,流动性不足:440万
sh.510770,申万菱信上证G60创新ETF,流动性不足:378万
sh.510800,建信上证50ETF,流动性不足:369万
sh.511670,华泰紫金天天金货币ETFA,流动性不足:59万
sh.511770,金鹰增益货币E,流动性不足:286万
sh.511820,鹏华添利交易型货币B,流动性不足:305万
sh.511830,华泰柏瑞交易货币A,流动性不足:48万
sh.511860,博时保证金货币ETFA,流动性不足:346万
sh.511910,融通易支付货币E,流动性不足:76万
sh.511920,广发货币E,流动性不足:34万
sh.511930,国联日盈A,流动性不足:75万
sh.511950,广发添利货币A,流动性不足:193万
sh.511960,嘉实快线货币H,流动性不足:215万
sh.511970,国寿安保货币E,流动性不足:77万
sh.511980,汇添富添富通货币E,流动性不足:66万
sh.512030,易方达中证A50增强策略ETF,流动性不足:256万
sh.512060,天弘中证A100ETF,流动性不足:306万
sh.512130,鹏华中证全指自由现金流ETF,流动性不足:113万
sh.512150,富时中国A50ETF,流动性不足:121万
