category,rank,code,name,index_tag,score,annual_return,annual_return_1y,annual_return_3y,annual_volatility,sharpe,max_drawdown,calmar,avg_turnover,days,years,start_date,end_date
债券,1,sh.511380,博时可转债ETF,可转债,0.5259157413024587,0.05551572461619436,0.13188346327451783,0.0689685966600102,0.09983379476307541,0.35574851883052155,-0.1589621479596026,0.3492386415809045,10837283101.55,1507,5.98,2020-04-07,2026-06-26
债券,2,sh.511360,海富通中证短融ETF,海富通中证短融ETF,0.5096914798014216,0.022983798264153643,0.015247117704888735,0.019574887610622538,0.006934005237941643,0.430313817449521,-0.010589510547819567,2.1704306502519253,30998249491.65,1389,5.51,2020-09-25,2026-06-26
债券,3,sh.511100,华夏上证基准做市国债ETF,国债,0.4941928815608566,0.03699613870384311,-0.000914076782449813,,0.02541956537885226,0.6686242841108133,-0.02820746132848036,1.3115727882426995,10634027262.1,603,2.39,2023-12-25,2026-06-26
债券,4,sh.511090,鹏扬中债-30年期国债ETF,30年国债,0.49388173790157797,0.07416377856005263,-0.044546850998463894,,0.06377070712172377,0.8493520145019923,-0.08794541319181189,0.843293309661289,4094637068.983333,734,2.91,2023-06-13,2026-06-26
债券,5,sh.511260,国泰上证10年期国债ETF,10年国债,0.47823076222004324,0.04008760094247399,0.016655324068992394,0.04608381599396161,0.02684178583912196,0.7483705094314652,-0.04619648101508512,0.8677630863135155,4094434621.45,2141,8.5,2017-08-24,2026-06-26
债券,6,sz.159111,天弘中证AAA科技创新公司债ETF,公司债,0.4697245551546537,0.029889607065779478,0.029889607065779478,,0.010659443792606168,0.927778902745312,-0.0030030030030030056,9.953239152904558,4340564310.8366995,178,0.71,2025-09-24,2026-06-26
债券,7,sh.511270,海富通上证10年期地方政府债ETF,海富通上证10年期地方政府债ETF,0.4644200037859887,0.04596340447943703,0.023593545573484365,0.04712376302980603,0.024275313933202303,1.0695393909582303,-0.0480228964742239,0.9571143736427417,1790856000.1333334,1835,7.28,2018-11-22,2026-06-26
债券,8,sh.511520,富国中债7-10年政策性金融债ETF,富国中债7-10年政策性金融债ETF,0.45933086450202026,0.04689436305328876,0.019896193771626436,0.050848315462560745,0.023890041070957817,1.1257562502051608,-0.02588438308886974,1.811685559292054,1768553507.6,889,3.53,2022-10-25,2026-06-26
债券,9,sz.159816,鹏华中证0-4年地方政府债ETF,鹏华中证0-4年地方政府债ETF,0.45860375792856434,0.02997891399547048,0.021170003652999814,0.031123892263409614,0.02199926085208356,0.45360223975549485,-0.026797359391616732,1.1187264221581872,2657318025.9305005,1397,5.54,2020-09-04,2026-06-26
债券,10,sz.159972,鹏华中证5年期地方政府债ETF,鹏华中证5年期地方政府债ETF,0.458113539960889,0.03894908031888722,0.026362616223148505,0.04020135893393073,0.017367976571023746,1.0910355758137849,-0.035891865571713616,1.0851784853887059,1590545309.1866667,1601,6.35,2019-11-08,2026-06-26
